Profitcenter,Sachkonto,S/H,costs,earning,Version,Planjahr
190001507,94000000,S,300,,8,2020
110990133,94000000,S,1350,,8,2020
190000104,94000000,S,1500,,8,2020
150000501,94000000,S,2928,,8,2020
150000504,94000000,S,2928,,8,2020
150000506,94000000,S,2928,,8,2020
150000507,94000000,S,2928,,8,2020
150000508,94000000,S,2928,,8,2020
150000511,94000000,S,2928,,8,2020
110770131,94000000,S,3180,,8,2020
150000503,94000000,S,5856,,8,2020
150001005,94000000,S,5856,,8,2020
168001302,94000000,S,8550,,8,2020
150000502,94000000,S,11712,,8,2020
150000000,94000000,S,43920,,8,2020
133000200,94000000,S,78270,,8,2020
168001303,94000000,S,92400,,8,2020
111000116,94000000,S,100575,,8,2020
166000000,94000000,S,113040,,8,2020
168001300,94000000,S,171000,,8,2020
137000221,94000000,S,421860,,8,2020
130000512,94000000,S,0.36,,8,2020
103001500,94000000,S,10099.92,,8,2020
166000112,94000000,S,10223.64,,8,2020
140000302,94000000,S,1107.36,,8,2020
141000402,94000000,S,1124.52,,8,2020
137000200,94000000,S,113769.96,,8,2020
121000122,94000000,S,11593.56,,8,2020
140000308,94000000,S,1173.24,,8,2020
110660130,94000000,S,1199.88,,8,2020
141200410,94000000,S,1218.84,,8,2020
141500408,94000000,S,1242.84,,8,2020
123000128,94000000,S,12511.08,,8,2020
161000000,94000000,S,12750.12,,8,2020
151000605,94000000,S,13407.12,,8,2020
163001001,94000000,S,13511.4,,8,2020
168001301,94000000,S,136200.12,,8,2020
101000102,94000000,S,1370.04,,8,2020
156001402,94000000,S,1435.92,,8,2020
166001308,94000000,S,14396.16,,8,2020
140000307,94000000,S,1447.44,,8,2020
166001201,94000000,S,1494493.68,,8,2020
151000606,94000000,S,1556.76,,8,2020
104000105,94000000,S,159.96,,8,2020
140000305,94000000,S,1612.68,,8,2020
156000000,94000000,S,17149.92,,8,2020
133000203,94000000,S,17799.96,,8,2020
140000303,94000000,S,1797.24,,8,2020
152000801,94000000,S,18352.8,,8,2020
163000000,94000000,S,18425.04,,8,2020
121000121,94000000,S,18611.4,,8,2020
137000220,94000000,S,19011.72,,8,2020
141700405,94000000,S,1952.76,,8,2020
140000300,94000000,S,21019.92,,8,2020
153000700,94000000,S,2109.96,,8,2020
166001205,94000000,S,2265.84,,8,2020
156001401,94000000,S,23475.96,,8,2020
102000118,94000000,S,2409.6,,8,2020
156001307,94000000,S,2580.6,,8,2020
162000908,94000000,S,264.84,,8,2020
110000123,94000000,S,266.76,,8,2020
140000310,94000000,S,269865.6,,8,2020
162000907,94000000,S,2720.64,,8,2020
103001501,94000000,S,2774.52,,8,2020
133000205,94000000,S,28420.8,,8,2020
133000204,94000000,S,28695.84,,8,2020
161000902,94000000,S,2903.28,,8,2020
140000304,94000000,S,2925.96,,8,2020
150000510,94000000,S,2937.96,,8,2020
190400412,94000000,S,300.24,,8,2020
121000100,94000000,S,30204.96,,8,2020
152000800,94000000,S,30980.04,,8,2020
141300409,94000000,S,3104.88,,8,2020
153000703,94000000,S,311.16,,8,2020
141400407,94000000,S,3162.84,,8,2020
161001003,94000000,S,3180.72,,8,2020
161000901,94000000,S,3373.92,,8,2020
166001202,94000000,S,3391.2,,8,2020
166001206,94000000,S,3441.24,,8,2020
141800404,94000000,S,3506.4,,8,2020
162000900,94000000,S,3819.96,,8,2020
141000400,94000000,S,389.88,,8,2020
125000108,94000000,S,39.96,,8,2020
161001207,94000000,S,3900.12,,8,2020
152000802,94000000,S,3969.12,,8,2020
151000604,94000000,S,4060.44,,8,2020
110000124,94000000,S,41228.28,,8,2020
162000909,94000000,S,415.92,,8,2020
166001103,94000000,S,45675.96,,8,2020
103001502,94000000,S,4753.92,,8,2020
114000107,94000000,S,4760.04,,8,2020
153000702,94000000,S,477.12,,8,2020
151000608,94000000,S,477.24,,8,2020
153000701,94000000,S,493.08,,8,2020
190600903,94000000,S,5.04,,8,2020
140000309,94000000,S,521.88,,8,2020
163000904,94000000,S,5263.56,,8,2020
151000603,94000000,S,552.24,,8,2020
137000219,94000000,S,57713.28,,8,2020
111000115,94000000,S,579.6,,8,2020
140000301,94000000,S,6131.4,,8,2020
166001204,94000000,S,61601.16,,8,2020
166001203,94000000,S,6391.2,,8,2020
151000602,94000000,S,65867.52,,8,2020
133000206,94000000,S,6741.36,,8,2020
162000906,94000000,S,718.56,,8,2020
151000601,94000000,S,718.92,,8,2020
156000208,94000000,S,7192.32,,8,2020
102000103,94000000,S,7284.96,,8,2020
133000201,94000000,S,73317.12,,8,2020
161000215,94000000,S,736.92,,8,2020
120000120,94000000,S,7601.28,,8,2020
110200126,94000000,S,857.76,,8,2020
141600406,94000000,S,8606.52,,8,2020
151000600,94000000,S,86160.12,,8,2020
153000704,94000000,S,878.64,,8,2020
113000114,94000000,S,8899.92,,8,2020
130000127,94000000,S,9.6,,8,2020
130000000,94000000,S,9.96,,8,2020
140000306,94000000,S,937.08,,8,2020
110880132,94000000,S,9619.92,,8,2020
141000401,94000000,S,962.4,,8,2020
152000803,94000000,S,9778.2,,8,2020
